POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,URL_ID,URL
5,1,0.6666665555555741,0.041666666377314816,24.0,0.3611111111111111,9.744444444444445,24.0,52,144,2.2430555555555554,3,7.131944444444445,Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/
8,8,0.0,0.04371584687509331,10.166666666666666,0.33060109289617484,4.198907103825136,10.166666666666666,121,366,2.262295081967213,7,6.825136612021858,Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/
11,4,0.46666663555555765,0.056603773371306516,14.722222222222221,0.27169811320754716,5.997568134171908,14.722222222222221,72,265,2.1245283018867926,1,6.471698113207547,Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/
22,11,0.33333332323232356,0.08549222775779215,14.296296296296296,0.5051813471502591,5.920591057378623,14.296296296296296,195,386,2.6424870466321244,4,7.867875647668394,Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/
9,2,0.636363578512402,0.02637889681923526,9.69767441860465,0.37889688249400477,4.030628520439462,9.69767441860465,158,417,2.4100719424460433,1,6.928057553956834,Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/
5,1,0.6666665555555741,0.041666666377314816,24.0,0.3611111111111111,9.744444444444445,24.0,52,144,2.2430555555555554,3,7.131944444444445,Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/
8,8,0.0,0.04371584687509331,10.166666666666666,0.33060109289617484,4.198907103825136,10.166666666666666,121,366,2.262295081967213,7,6.825136612021858,Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/
11,4,0.46666663555555765,0.056603773371306516,14.722222222222221,0.27169811320754716,5.997568134171908,14.722222222222221,72,265,2.1245283018867926,1,6.471698113207547,Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/
22,11,0.33333332323232356,0.08549222775779215,14.296296296296296,0.5051813471502591,5.920591057378623,14.296296296296296,195,386,2.6424870466321244,4,7.867875647668394,Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/
56,22,0.4358974303090073,0.0730337077967849,10.68,0.5243445692883895,4.481737827715356,10.68,560,1068,2.7134831460674156,1,7.76685393258427,Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/
